מפעל,רכיב עלות,סוג תמחיר,מרכז עבודה,תאריך עדכון, עלות לסוג תמחיר 1 , עלות לסוג תמחיר 5 , עלות לסוג תמחיר 6 ,עלות לסוג תמחיר 7,מחלקה,,,
100,B01,1,WC411,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WC412,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WC413,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WC450,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WC500,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WC512,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WC525,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WC709,, 7.00 , -   ,,,הרכבה 3,,,
100,B01,1,WC752,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WC777,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WC790,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WCASS204,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WCASS209,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WCASS215,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WCASS223,, 22.93 , -   ,,,אוטומטית דלתון,,,
,100
,B01,1,WCASS224,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WCASS702,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WCASS703,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WCMO01,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,1,WCUSW04,, 22.93 , -   ,,,אוטומטית דלתון,,,
100,B01,5,WC411,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WC412,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WC413,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WC450,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WC500,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WC512,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WC525,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WC709,, -   , 2.17 ,,,הרכבה 3,,,
100,B01,5,WC752,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WC777,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WC790,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WCASS204,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WCASS209,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WCASS215,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WCASS223,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WCASS224,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WCASS702,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WCASS703,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WCMO01,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B01,5,WCUSW04,, -   , 7.10 ,,,אוטומטית דלתון,,,
100,B09,1,WC411,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WC412,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WC413,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WC450,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WC500,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WC512,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WC525,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WC709,, 83.99 , -   ,,,הרכבה 3,,,
100,B09,1,WC752,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WC777,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WC790,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WCASS204,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WCASS209,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WCASS215,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WCASS223,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WCASS224,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WCASS702,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WCASS703,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WCMO01,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,1,WCUSW04,, 83.99 , -   ,,,אוטומטית דלתון,,,
100,B09,5,WC411,, -   , 25.84 ,,,אוטומטית דלתון,,,
100,B09,5,WC412,, -   , 25.84 ,,,אוטומטית דלתון,,,
100,B09,5,WC413,, -   , 25.84 ,,,אוטומטית דלתון,,,
100,B09,5,WC450,, -   , 25.84 ,,,אוטומטית דלתון,,,
100,B09,5,WC500,, -   , 25.84 ,,,אוטומטית דלתון,,,
100,B09,5,WC512,, -   , 25.84 ,,,אוטומטית דלתון,,,
100,B09,5,WC525,, -   , 25.84 ,,,אוטומטית דלתון,,,
100,B09,5,WC709,, -   , 25.84 ,,,הרכבה 3,,,
100,B09,5,WC752,, -   , 25.84 ,,,אוטומטית דלתון,,,
100,B09,5,WC777,, -   , 25.84 ,,,אוטומטית דלתון,,,
